epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2807.81,1.82616,6.88834,1.91519,0.64146,0.56925,0.61166,0.28933,1.73923,4.6478,1.71569,0.00599698,0.00199899,0.00599698,0.00199899,0.00599698,0.00199899,0.00599698,0.00199899
2,5619.65,1.62749,5.10369,1.73641,0.67384,0.55956,0.63074,0.3076,1.74621,4.49449,1.74892,0.0119853,0.00399509,0.0119853,0.00399509,0.0119853,0.00399509,0.0119853,0.00399509
3,8373.61,1.61695,5.07487,1.73972,0.69812,0.60936,0.68158,0.35463,1.62999,4.23223,1.67184,0.0179267,0.00597558,0.0179267,0.00597558,0.0179267,0.00597558,0.0179267,0.00597558
4,11063.4,1.62866,5.16956,1.76154,0.69739,0.59266,0.67091,0.35809,1.59736,4.2453,1.6631,0.0237866,0.00792886,0.0237866,0.00792886,0.0237866,0.00792886,0.0237866,0.00792886
5,13754.6,1.70352,5.63542,1.84359,0.65263,0.5656,0.62371,0.31206,1.67188,4.87659,1.76847,0.0295305,0.0098435,0.0295305,0.0098435,0.0295305,0.0098435,0.0295305,0.0098435
6,16445.8,1.72026,5.76374,1.88104,0.68862,0.59044,0.66154,0.34202,1.63973,4.39482,1.73283,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
7,19127.7,1.6525,5.40929,1.82632,0.71359,0.61232,0.69291,0.37572,1.56309,4.14455,1.67432,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
8,21814.8,1.61633,5.18178,1.79445,0.71623,0.62585,0.70875,0.39316,1.52373,3.95272,1.64035,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
9,24513.6,1.59015,5.05717,1.7736,0.73785,0.6292,0.71968,0.40631,1.49922,3.85726,1.62351,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
10,27202.6,1.57117,4.93931,1.75634,0.74137,0.6403,0.72998,0.41452,1.49311,3.74683,1.61019,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
11,29902.8,1.55748,4.85832,1.74653,0.75225,0.63998,0.73461,0.42216,1.47869,3.67829,1.59963,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
12,32602.2,1.54356,4.77984,1.73593,0.75228,0.64718,0.73915,0.42755,1.45962,3.63122,1.58807,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
13,35310,1.53014,4.69966,1.72067,0.7575,0.64919,0.74368,0.43378,1.44965,3.57997,1.58445,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
14,38014.5,1.52089,4.65718,1.71468,0.76179,0.64899,0.74665,0.43877,1.43696,3.53979,1.57721,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
15,40720,1.50766,4.60601,1.7077,0.76508,0.65229,0.74945,0.44174,1.43347,3.51247,1.5753,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
16,2520.68,1.49923,4.5539,1.70052,0.76319,0.65504,0.75109,0.44392,1.42736,3.49376,1.5712,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
17,5042.75,1.50376,4.56294,1.69702,0.76462,0.65609,0.7522,0.44584,1.42304,3.47773,1.56769,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
18,7562.15,1.49375,4.51262,1.6893,0.76478,0.65665,0.75321,0.4475,1.41916,3.46185,1.56405,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
19,10081.4,1.4795,4.45245,1.67998,0.76585,0.65748,0.75469,0.44896,1.41507,3.44655,1.56069,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
20,12600.7,1.47953,4.42826,1.67638,0.76189,0.66181,0.7554,0.45037,1.41143,3.43107,1.55728,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
21,15123.6,1.46604,4.38444,1.66729,0.76228,0.66421,0.75704,0.45256,1.40701,3.41466,1.55398,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
22,17644.5,1.45797,4.33659,1.65764,0.76634,0.66373,0.75785,0.45477,1.40293,3.39913,1.5509,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
23,20168.5,1.44808,4.27606,1.64803,0.76782,0.66467,0.7589,0.45643,1.399,3.38392,1.54794,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
24,22695.9,1.44191,4.2537,1.64537,0.76928,0.66617,0.76033,0.45861,1.39538,3.36785,1.5452,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
25,25218.3,1.4325,4.19988,1.63689,0.77282,0.66594,0.76129,0.46035,1.39112,3.35122,1.54203,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
26,27741.5,1.42689,4.15495,1.63301,0.77221,0.6679,0.76296,0.46232,1.38808,3.33503,1.53957,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,30266.5,1.41969,4.11739,1.6274,0.77411,0.66863,0.76427,0.46426,1.38394,3.31785,1.53669,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
28,32790.1,1.41038,4.07283,1.61572,0.77341,0.6705,0.76537,0.46604,1.38003,3.30109,1.53399,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
29,35310.6,1.4057,4.0662,1.61403,0.77444,0.67153,0.7667,0.46808,1.37598,3.28361,1.53078,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
30,37833.6,1.39488,4.02221,1.60566,0.77431,0.6732,0.76811,0.46968,1.37221,3.26732,1.52797,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
31,40365.1,1.35974,3.4721,1.59534,0.77283,0.67492,0.76932,0.47207,1.36769,3.24874,1.52492,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
